DATE,CLOCK,TEMP,PRESS
2019-05-26,14:31,25.3744,982.1743
2019-05-26,14:32,25.18,982.1421
2019-05-26,14:33,25.1724,982.138
2019-05-26,14:34,25.1745,982.1176
2019-05-26,14:35,25.1608,982.0959
2019-05-26,14:36,25.1529,982.0992
2019-05-26,14:37,25.1407,982.0657
2019-05-26,14:38,25.1304,982.0304
2019-05-26,14:39,25.1188,982.0058
2019-05-26,14:40,25.1036,981.9801
2019-05-26,14:41,25.103,981.9554
2019-05-26,14:42,25.0987,981.974
2019-05-26,14:43,25.0832,981.902
2019-05-26,14:44,25.0819,981.8874
2019-05-26,14:45,25.0908,981.8445
2019-05-26,14:46,25.0999,981.832
2019-05-26,14:47,25.0941,981.8513
2019-05-26,14:48,25.0953,981.8469
2019-05-26,14:49,25.095,981.8227
2019-05-26,14:50,25.0987,981.7906
2019-05-26,14:51,25.1081,981.7707
2019-05-26,14:52,25.0993,981.7346
2019-05-26,14:53,25.0847,981.7068
2019-05-26,14:54,25.071,981.6978
2019-05-26,14:55,25.0524,981.6968
2019-05-26,14:56,25.0524,981.6463
2019-05-26,14:57,25.0487,981.6594
2019-05-26,14:58,25.0554,981.6147
2019-05-26,14:59,25.0658,981.5521
2019-05-26,15:00,25.0795,981.5721
2019-05-26,15:01,25.0789,981.5633
2019-05-26,15:02,25.0777,981.5582
2019-05-26,15:03,25.0847,981.5677
2019-05-26,15:04,25.0871,981.551
2019-05-26,15:05,25.0966,981.5074
2019-05-26,15:06,25.1005,981.5058
2019-05-26,15:07,25.1008,981.4968
2019-05-26,15:08,25.109,981.4861
2019-05-26,15:09,25.1194,981.4803
2019-05-26,15:10,25.1218,981.4668
2019-05-26,15:11,25.1182,981.461
2019-05-26,15:12,25.127,981.3927
2019-05-26,15:13,25.1313,981.4232
2019-05-26,15:14,25.1425,981.4062
2019-05-26,15:15,25.1368,981.3892
2019-05-26,15:16,25.1377,981.3922
2019-05-26,15:17,25.1398,981.3703
2019-05-26,15:18,25.1398,981.3418
2019-05-26,15:19,25.1456,981.3336
2019-05-26,15:20,25.1499,981.3451
2019-05-26,15:21,25.1477,981.2816
2019-05-26,15:22,25.1529,981.2708
2019-05-26,15:23,25.1602,981.2413
2019-05-26,15:24,25.1611,981.2332
2019-05-26,15:25,25.1581,981.2426
2019-05-26,15:26,25.152,981.2188
2019-05-26,15:29,25.3317,981.275
